Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,224.65,17.15,10.14,35.20,17.97,9.98,10.80,10.27,9.05,21.32,9.06,9.68,12.31,35.20,17.97,20.05,48.07,20.05,48.68,0.12,36.19,24.91,68.28,56.31,792.72
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,70.44,,32.41,121.08,42.37,-33.33,-82.18,51.34,41.57,123.89,36.18,103.71,71.66,121.08,42.37,79.29,62.19,79.29,62.19,3.62,-2.82,2.22,-2.63,3.60,73.96
360 ONE,542772,360ONE,Finance & Investments,1007.00,20.86,13.10,29.42,16.51,-0.73,8.78,,,21.88,11.52,,,28.54,,,,,,-5.16,522.53,,1142.50,,36540.75
3B Blackbio,532067,,Healthcare,1186.85,-31.11,26.06,-34.43,43.69,-6.75,19.86,24.31,12.95,-33.23,41.72,48.71,41.85,-37.29,35.54,54.71,51.35,61.30,55.84,2.94,42.36,22.22,57.19,30.33,1018.66
3C IT Solutions,544190,,Computers - Software - Medium / Small,44.01,,,,,-7.32,-7.32,,,,,,,,,,,,,,,,,,26.50
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,36.70,10.17,-6.22,,,-1.26,7.70,-2.95,-4.63,5.73,,,,,,,2.81,,6.05,0.00,-4.67,-57.30,-5.36,31.00,621.19
3M India,523395,3MINDIA,Diversified - Large,37169.50,17.50,6.93,53.53,10.67,8.17,5.18,7.53,8.47,43.27,7.43,9.18,19.34,53.53,10.67,12.12,28.59,12.12,28.59,0.00,316.87,276.22,435.62,400.45,41890.05
3P Land Hold.,516092,3PLAND,Finance & Investments,38.18,36.17,14.11,146.23,86.60,0.54,17.21,40.46,-32.57,128.64,14.24,3.22,-12.13,146.23,86.60,44.75,11.55,44.75,11.55,0.06,1.25,0.55,1.54,2.23,68.73
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.68,,-44.91,26.48,15.56,-100.00,-100.00,,,26.49,15.57,-26.87,7.28,26.48,15.56,-26.66,7.27,-26.66,7.28,0.00,-1.87,-0.72,-1.68,-0.59,5.85
5Paisa Capital,540776,5PAISA,Finance & Investments,514.90,26.58,45.36,54.79,37.26,78.09,53.14,76.24,,34.75,53.53,37.79,,44.76,34.17,32.80,,31.10,,-1.73,23.71,,53.51,,1606.63
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,377.50,43.36,12.57,147.67,52.43,-2.35,0.02,11.67,-1.83,215.86,92.35,11.21,20.64,147.67,52.43,37.20,14.83,37.20,14.83,0.00,11.26,-28.05,31.72,-4.50,1739.44
7NR Retail Ltd,540615,,Trading,5.23,61.47,-2.55,,,-10.44,-10.44,0.35,8.76,,,,,,,,,,,-27.03,-0.10,-0.02,-0.02,0.06,14.66
7Seas Enter.,540874,,Computers - Software - Medium / Small,60.36,738.48,125.99,-18.60,15.83,-60.00,113.59,8.34,21.16,-10.53,16.69,-12.92,13.02,-31.52,15.44,-8.44,7.69,-1.41,8.49,-12.58,0.33,-2.65,0.52,-2.20,112.65
A B B,500002,ABB,Electric Equipment,8533.85,21.52,9.32,92.69,19.98,6.22,19.12,2.75,3.07,68.31,17.85,12.22,13.78,92.69,19.98,19.52,21.40,19.52,21.40,0.00,592.76,478.20,828.37,715.94,180839.43
A B Infrabuild,,ABINFRA,Construction,55.40,43.83,27.34,96.64,32.57,-1.87,15.90,14.81,8.38,75.57,22.46,20.09,12.07,29.82,-5.19,20.39,-4.07,81.57,27.90,-22.37,4.57,3.00,10.04,8.59,275.59
A B M Internatl.,,ABMINTLLTD,Trading,62.00,-10.04,3.89,,-34.47,-1.27,9.69,-5.78,,,,,,,,,,,,0.00,-0.84,-0.10,-0.25,0.10,58.33
A F Enterprises,538351,,Trading,11.30,-39.13,,,,-50.00,-50.00,,,-26.67,,,,12.55,,,,,,-2.77,,,,,41.46
