Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,224.75,22.27,173.28,20.54,0.47,21.01,3.70,17.31,4.13,13.18,3.87,9.30,0.00,9.32,11.85,5.38,17.64,2.64,793.08
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,70.44,16.03,-4.80,-5.33,0.03,-5.30,0.01,-5.31,0.00,-5.31,0.03,-5.34,0.00,-5.34,,,10.50,-5.09,73.96
360 ONE,542772,360ONE,Finance & Investments,1006.70,374.92,482.19,272.42,48.33,320.75,12.47,308.28,108.20,200.08,44.67,155.41,0.00,155.41,56.50,32.23,17.74,4.37,36529.86
3B Blackbio,532067,,Healthcare,1187.00,8.87,18.11,7.46,1.15,8.61,0.21,8.40,0.04,8.36,3.16,5.19,0.00,5.19,41.19,28.66,7.49,7.72,1018.80
3C IT Solutions,544190,,Computers - Software - Medium / Small,44.10,,,,,,,,,,,,,,,,,,26.55
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,36.77,-7.65,190.46,-17.00,-0.60,-13.43,5.40,-18.83,2.56,-25.56,1.71,-23.38,-4.17,-27.27,-8.93,-12.28,167.94,-1.62,622.37
3M India,523395,3MINDIA,Diversified - Large,37172.75,166.73,986.47,179.51,8.04,187.55,14.10,173.45,5.63,167.82,44.55,123.27,0.00,123.27,18.20,12.50,11.27,109.43,41893.71
3P Land Hold.,516092,3PLAND,Finance & Investments,38.18,0.54,0.47,0.38,0.00,0.38,0.02,0.36,0.00,0.36,0.09,0.27,0.00,0.27,80.85,57.45,3.60,0.15,68.73
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.69,0.27,0.00,-0.03,-0.05,-0.03,0.00,-0.03,0.00,-0.08,0.00,-0.03,-0.05,-0.08,,,34.88,-0.02,5.88
5Paisa Capital,540776,5PAISA,Finance & Investments,514.15,30.37,90.59,25.45,0.86,26.31,2.48,23.83,4.63,19.20,4.80,14.41,0.00,14.41,28.09,15.91,29.42,4.70,1604.29
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,376.75,65.36,111.60,28.23,-6.61,62.99,14.24,48.75,0.22,7.16,24.73,-8.63,-41.37,-26.10,25.30,-8.49,9.22,-5.16,1735.99
7NR Retail Ltd,540615,,Trading,5.23,-0.35,10.39,-0.57,0.46,-0.11,0.06,-0.17,0.02,-0.19,0.01,-0.21,0.00,-0.21,-5.49,-2.02,10.47,-0.08,14.66
7Seas Enter.,540874,,Computers - Software - Medium / Small,60.36,0.34,1.08,0.07,0.04,0.11,0.03,0.08,0.00,0.08,0.00,0.08,0.00,0.08,6.48,7.41,15.14,0.05,112.65
