Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,225.65,796.25,13.84,0.57,2.30,10.35,0.34,17.75,44.95,11.34,0.00,19.15,857.32,3.53,100.02,4.10,1.16,0.00,8.00,6.00,1.40,1.57,22492.00,44.95,15.11,58.93,3.52,,87.97,16.19,189.11,103.51,54.44,58.93,99.02,54.32,0.73,0.01,0.00,0.00,83.20,19.27,8.10,15.34,20546.00
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,70.44,73.96,2.30,3.54,1.39,64.72,0.08,88.07,64.25,47.01,0.00,23.18,74.21,1.05,50.84,,6.76,,6.00,5.00,0.70,0.93,5943.00,64.25,80.05,179.36,1.78,,379.01,55.17,187.38,179.36,,179.36,,35.75,0.00,0.00,0.00,0.00,18.87,-43.10,-38.53,-62.72,6333.00
360 ONE,542772,360ONE,Finance & Investments,997.60,36199.65,45.05,1.63,10.36,6.11,2.75,24.47,17.76,3.72,31.30,23.18,45033.41,36.29,96.13,,0.84,0.00,3.00,6.00,0.22,3.81,46512.00,12.20,215.86,41.01,1.78,,-120.92,10.93,220.16,41.01,,41.01,0.00,10.70,63.22,0.74,-0.53,8.34,87.67,13.33,6.00,21.41,42622.00
3B Blackbio,532067,,Healthcare,1184.50,1016.66,31.66,0.21,4.54,13.89,0.00,16.28,41.29,4.93,0.00,42.74,955.36,0.86,259.88,2.65,6.56,0.00,5.00,3.00,0.32,1.04,9753.00,41.29,28.40,178.51,5.67,,215.59,17.92,472.22,253.38,66.01,178.51,140.89,53.85,2.97,-0.41,0.71,1.89,228.05,19.06,12.77,16.00,10088.00
3C IT Solutions,544190,,Computers - Software - Medium / Small,44.10,26.55,23.30,0.00,,3.59,3.27,33.98,51.67,9.87,0.00,34.11,39.66,0.60,,3.52,0.89,0.00,3.00,2.00,1.95,7.75,1006.00,51.67,16.03,60.29,3.70,,98.54,13.55,,103.37,59.31,60.29,102.39,48.34,0.00,,,0.00,,29.33,4.19,53.37,
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,36.75,622.03,,0.00,2.12,-8.99,0.29,-15.71,0.00,-5.75,0.00,34.11,652.00,16.93,17.34,,1.05,0.00,4.00,3.00,1.00,2.79,272076.00,0.00,-11.48,70.33,3.70,,8.32,-5.61,,70.33,,70.33,,88.91,0.94,0.21,-0.02,10.15,38.16,2.59,0.31,0.45,280315.00
3M India,523395,3MINDIA,Diversified - Large,37310.00,42048.39,78.43,0.43,17.74,16.99,0.01,24.84,75.00,1.79,0.00,23.87,40948.25,1.13,2104.02,4.43,1.87,0.00,9.00,4.00,1.24,1.33,29198.00,75.00,31.90,63.12,2.87,,23.52,21.23,4747.23,21.18,119.02,63.12,77.08,12.92,3.64,0.08,-0.08,8.44,1729.09,25.29,13.48,18.75,27610.00
3P Land Hold.,516092,3PLAND,Finance & Investments,38.00,68.41,37.79,0.00,0.69,2.11,0.00,2.20,73.30,3.51,0.00,23.18,68.19,1.80,54.84,,3.71,0.00,5.00,5.00,0.04,0.87,8551.00,73.30,278.46,0.00,1.78,,-3.08,2.32,35.23,0.00,,0.00,,26.69,0.00,0.00,0.00,0.00,36.70,3.07,2.27,2.32,7528.00
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.69,5.88,34.69,0.00,0.37,0.85,0.23,1.07,9.43,1.84,0.00,41.23,9.49,3.49,4.56,0.00,4.84,,6.00,2.00,0.01,1.25,7278.00,9.43,0.89,0.00,2.96,,24767.86,0.85,2.24,0.00,,0.00,,90.57,0.00,0.00,0.00,0.00,4.52,-0.56,-0.55,-0.69,6424.00
5Paisa Capital,540776,5PAISA,Finance & Investments,514.30,1604.75,29.47,0.00,2.97,2.95,0.62,10.85,32.80,33.61,0.00,17.68,303.71,3.12,173.09,,1.57,0.00,4.00,5.00,0.21,3.42,42465.00,32.80,10.98,0.03,2.85,,-897.33,4.92,260.72,0.03,,0.03,,44.24,22.66,0.29,0.09,0.29,151.22,12.42,2.68,10.60,33164.00
