Name,BSE Code,NSE Code,Industry,Current Price,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,817.48,13.30,60.12,21.70,16.72,0.00,777.49,105.65,2.14,109.59,14.35,95.24,16.46,76.98,20.82,57.38,-1.80,56.16,4.41,53.49,63.75,13.59,7.39,108.76,16.48,14.86,15.89,99.42,59.12,21.16,22.24,3.96,202403.00,701.69,85.79,2.97,88.76,13.80,74.96,17.76,57.20,15.24,41.82,0.00,41.96,2.65,12.23,5.98,11.85,777.49,56.14,1015.37
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,146.13,42.95,59.40,78.43,56.57,0.05,38.59,32.98,0.00,32.98,0.05,32.93,0.00,32.93,0.76,32.17,0.00,32.17,2.62,8.37,1.55,85.46,83.36,62.77,0.00,0.05,30.64,62.80,59.40,3.17,3.41,0.08,202403.00,-9.07,-17.99,0.12,-17.87,0.06,-17.93,0.00,-17.93,0.13,-18.06,0.00,-18.06,0.00,-198.35,5.63,-17.20,38.56,32.18,90.62
360 ONE,542772,360ONE,Finance & Investments,1056.30,2831.50,55.18,926.34,14.47,24.04,-1.97,2920.91,1704.85,3.82,1708.63,56.64,1651.99,643.49,1008.54,204.33,804.18,0.04,804.21,592.18,5.14,689.82,58.37,27.53,1562.46,733.93,60.53,22.41,1950.88,864.37,217.24,264.95,361.32,202403.00,2056.65,1290.91,4.89,1295.79,46.31,1249.48,399.20,850.29,192.40,657.88,0.01,657.89,2457.09,62.77,31.99,18.48,2555.16,804.21,38329.62
3B Blackbio,532067,,Healthcare,1245.65,74.12,44.50,32.10,20.95,38.13,0.00,74.12,32.98,12.53,45.51,1.06,44.45,0.12,44.33,12.23,32.10,0.00,32.10,0.00,29.47,6.50,44.50,43.31,32.98,0.12,1.06,38.13,44.45,32.10,10.84,12.23,12.53,202403.00,61.84,29.14,7.23,36.37,0.86,35.51,0.20,35.31,9.37,25.94,0.00,25.94,1.87,47.12,41.95,34.55,69.24,28.49,1069.10
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,29.84,7.44,0.12,9.60,0.28,,29.84,2.22,0.38,2.60,0.92,1.68,1.44,0.24,0.11,0.12,0.00,0.12,0.00,83.51,1.60,7.44,0.40,2.22,1.44,0.92,0.28,1.68,0.12,0.21,0.11,0.38,202403.00,61.93,3.20,1.00,4.20,0.29,3.91,2.32,1.59,0.45,1.14,0.00,1.14,0.00,5.17,1.84,31.67,,,23.66
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,813.88,-1.65,-73.56,-6.65,-17.63,0.00,813.88,-13.40,-233.32,-10.08,27.15,-37.23,10.09,-283.96,14.31,-73.56,-236.64,-298.27,0.00,0.00,576.89,-1.65,-9.04,-13.40,10.09,27.15,-17.63,-37.23,-298.27,14.31,14.31,-233.32,202403.00,729.11,-36.88,73.35,43.06,22.80,20.26,9.29,4.38,3.01,3.01,-6.59,1.37,0.00,-5.06,0.41,0.08,807.30,-226.46,604.10
3M India,523395,3MINDIA,Diversified - Large,39413.25,3926.76,17.98,535.73,33.04,476.05,0.00,3926.76,705.87,67.47,772.62,51.83,720.79,3.20,718.31,182.04,535.73,0.72,536.27,772.00,60.05,359.43,17.98,13.64,705.87,3.20,51.83,476.05,720.79,536.27,181.81,182.04,67.47,202403.00,3733.44,559.79,64.22,623.66,56.12,567.54,7.10,560.79,144.66,415.88,0.35,416.14,1070.65,14.99,11.14,369.41,3880.51,498.31,44418.73
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,3.98,66.58,1.93,2.94,1.07,0.00,3.56,2.51,0.00,2.51,0.09,2.42,0.00,2.42,0.61,1.81,0.00,1.81,0.00,0.00,0.74,70.51,50.84,2.65,0.00,0.07,1.01,2.58,1.93,0.66,0.65,0.00,202403.00,2.52,2.14,0.00,2.14,0.10,2.04,0.00,2.04,0.51,1.54,0.00,1.54,0.00,84.92,61.11,0.86,3.56,1.81,67.05
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,0.28,60.71,0.17,0.87,0.05,0.00,0.28,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.00,0.02,60.71,60.71,0.17,0.00,0.00,0.05,0.17,0.17,0.00,0.00,0.00,202403.00,0.00,-0.11,-0.05,-0.11,0.00,-0.11,0.00,-0.16,0.00,-0.11,-0.05,-0.16,0.00,,,-0.05,0.28,0.12,5.48
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,412.24,28.72,57.34,12.85,18.47,-0.02,394.53,106.68,0.03,106.71,9.47,97.24,28.57,68.67,16.82,51.85,0.00,51.85,0.00,0.00,89.50,27.04,13.14,118.39,31.88,10.53,16.62,107.89,57.34,21.05,18.68,0.03,202403.00,338.15,86.59,0.00,86.59,8.04,78.55,20.79,57.76,14.46,43.30,0.00,43.30,0.00,25.61,12.80,14.13,394.53,51.85,1516.79
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,403.40,472.11,20.59,209.76,6.70,48.29,0.00,472.11,97.19,147.97,245.16,30.29,214.87,0.97,213.90,1.55,209.76,0.00,209.76,9.22,0.64,191.57,20.59,44.43,97.19,0.97,30.29,48.29,214.87,209.76,1.55,1.55,147.97,202403.00,290.07,-26.77,70.34,84.92,23.39,61.53,0.63,19.55,41.36,-44.56,-41.35,-26.64,9.22,-9.23,-25.09,-3.54,546.17,179.83,1858.81
7NR Retail Ltd,540615,,Trading,7.61,11.62,-11.62,-1.11,-3.12,-0.40,0.00,11.62,-1.35,0.59,-0.76,0.27,-1.03,0.13,-1.16,-0.05,-1.11,0.00,-1.11,0.00,106.88,0.08,-11.62,-9.55,-1.35,0.13,0.27,-0.40,-1.03,-1.11,0.00,-0.05,0.59,202403.00,47.68,-0.06,0.66,0.60,0.21,0.39,0.05,0.34,0.11,0.24,0.00,0.24,0.00,-0.13,0.50,0.09,21.00,-1.09,21.31
7Seas Enter.,540874,,Computers - Software - Medium / Small,70.00,11.79,13.91,0.96,18.36,0.51,-6.14,11.79,1.64,0.00,1.64,0.39,1.25,0.22,1.03,0.07,0.96,0.00,0.96,0.00,0.00,7.17,13.91,8.14,1.64,0.22,0.39,0.51,1.25,0.96,0.00,0.07,0.00,202403.00,5.52,0.57,0.04,0.61,0.08,0.53,0.00,0.53,0.10,0.43,0.00,0.43,0.00,10.33,7.79,0.28,9.70,0.83,130.62
A B B,500002,ABB,Electric Equipment,7578.80,11115.67,15.92,1462.61,30.69,68.73,0.00,10446.52,1501.06,288.59,1802.75,119.92,1682.83,16.97,1652.76,410.71,1247.24,-13.10,1242.05,504.32,60.58,716.24,14.37,11.94,1769.65,14.24,123.86,58.61,1962.37,1456.45,501.00,485.52,310.42,202312.00,8567.53,967.71,505.80,1147.18,104.70,1042.48,15.40,1353.41,337.18,764.16,326.33,1016.23,116.54,11.30,8.92,47.96,10446.52,1242.05,160601.12
A B Infrabuild,,ABINFRA,Construction,63.25,183.81,13.06,11.71,31.33,2.30,0.00,183.81,24.00,0.29,24.68,3.49,21.19,5.21,15.59,4.17,11.71,-0.39,11.42,0.00,79.02,3.39,13.06,6.37,24.00,5.21,3.49,2.30,21.19,11.42,4.14,4.17,0.29,202403.00,123.09,12.69,2.77,13.39,0.74,12.65,4.45,10.27,2.73,6.00,2.07,7.54,0.00,10.31,4.87,5.27,,,314.63
A B M Internatl.,,ABMINTLLTD,Trading,60.05,93.64,-4.77,-3.42,-18.65,-3.64,0.00,93.64,-4.47,0.49,-3.98,0.04,-4.02,0.56,-4.58,-1.16,-3.42,0.00,-3.42,0.00,103.59,0.68,-4.77,-3.65,-4.47,0.56,0.04,-3.64,-4.02,-3.42,0.00,-1.16,0.49,202403.00,85.37,-9.64,1.05,-9.17,0.05,-9.22,0.13,-8.77,-2.09,-7.28,0.58,-6.70,0.00,-11.29,-8.53,-7.12,101.07,0.21,56.50
A F Enterprises,538351,,Trading,16.57,8.50,-9.29,0.00,-1.67,0.00,0.00,8.50,-0.79,2.35,0.56,1.11,-0.55,0.18,0.27,0.27,0.00,1.00,-0.01,0.00,51.65,0.32,-9.29,-8.71,-0.79,0.18,1.11,0.00,-0.55,-0.01,0.22,0.27,2.35,202403.00,24.29,-4.35,6.74,1.08,1.25,-0.17,0.26,0.88,0.54,-0.29,1.31,0.34,0.00,-17.91,-1.19,0.10,23.50,-2.27,60.80
A G Universal,,AGUL,Trading,61.00,78.37,6.14,1.92,17.40,3.50,0.00,78.37,4.81,0.58,5.39,1.31,4.08,1.52,2.56,0.64,1.92,0.00,1.92,0.00,90.86,1.00,6.14,2.45,4.81,1.52,1.31,3.50,4.08,1.92,0.71,0.64,0.58,202403.00,59.33,1.24,1.58,1.62,0.32,1.30,1.03,1.47,0.31,0.20,1.20,1.16,0.00,2.09,0.34,2.88,,,33.45
A K Spintex,539300,,Textiles - Processing,200.10,111.18,15.51,7.01,28.05,13.93,0.00,117.24,18.97,0.04,19.01,6.87,12.14,0.76,11.38,2.94,8.45,0.00,8.45,0.00,21.18,14.87,16.18,7.21,17.24,0.71,7.67,16.79,9.57,7.01,2.38,1.86,0.00,202403.00,116.43,16.29,0.12,16.41,6.14,10.27,0.84,9.43,2.10,7.32,0.00,7.32,0.00,13.99,6.29,14.55,117.24,8.75,100.69
