Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,16.89,1015.37,0.43,17.91,19.79,230.55,20.99,21.70,121.37,17.64,0.00,335.31,82.32,39.05,588.44,366.29,0.00,154.06,212.23,12.26,17.40,332.00,189.54,0.00,0.00,17.73,588.44,247.69,5.75,112.83,125.52,5.00,60.30,2.97,62.03,3.53,107.83,179.63,213.47,357.60,7.51,106.23,89.10,80.74,50.93,104.16,124.45,152.01,176.64,202.58,194.99,177.00
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,1.53,90.62,2.90,24.45,982.67,108.58,10650.50,78.43,0.00,10.50,0.00,42.77,0.00,0.00,55.57,2.24,0.00,1.52,0.72,0.00,10.95,43.59,2.14,0.15,0.00,7.58,55.57,41.45,0.00,8.75,17.16,10.00,3.99,0.00,0.00,1.05,10.00,4.58,0.74,2.21,0.00,18.36,31.97,23.94,31.69,0.00,0.00,0.00,7.56,0.85,0.91,1.49
360 ONE,542772,360ONE,Finance & Investments,1056.30,41.38,38329.62,1.56,243.74,66.53,849.34,48.23,14.47,9471.93,35.89,0.00,3413.84,7636.08,1835.85,15114.36,1129.13,0.00,189.40,939.73,63.86,5947.67,1794.43,2123.91,5947.67,0.00,393.02,15114.36,-329.48,0.00,0.00,328.17,1.00,638.17,0.00,160.63,35.61,6783.67,495.20,879.75,1031.09,39.16,914.37,494.81,,,5076.69,6103.08,,,837.19,336.60,
3B Blackbio,532067,,Healthcare,1245.65,33.31,1069.10,0.20,8.79,69.36,23.00,27.00,20.95,0.85,8.57,0.00,214.48,1.12,0.91,248.10,14.36,0.00,6.56,7.40,0.00,117.31,123.40,17.53,0.00,0.00,0.19,248.10,105.93,0.00,8.43,36.25,10.00,62.15,0.00,3.95,0.75,2.03,101.18,7.79,14.36,0.09,76.41,25.74,17.12,13.43,2.01,6.19,8.69,6.89,5.00,3.97,3.28
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,197.17,23.66,0.00,0.75,,12.47,,9.60,5.21,0.36,0.00,2.06,9.54,3.86,16.07,1.21,0.00,0.73,1.29,0.00,0.00,14.66,9.55,0.00,0.00,0.00,16.07,8.02,0.00,6.04,7.10,5.00,0.71,0.86,5.32,0.04,13.40,17.01,0.48,1.21,0.00,5.12,,,,3.99,,,,0.39,,
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,,604.10,0.00,-99.08,-104.23,197.04,3.45,-6.65,84.48,169.23,0.00,124.21,38.09,61.15,663.99,1086.86,103.01,608.06,251.19,0.00,2.24,334.60,318.46,0.00,0.00,263.07,663.99,73.06,42.63,0.00,156.83,10.00,54.51,4.71,92.87,16.85,99.24,137.02,478.80,1086.86,41.81,736.87,229.93,159.33,-362.55,569.29,894.08,928.62,2711.69,387.71,806.33,806.39
3M India,523395,3MINDIA,Diversified - Large,39413.25,82.91,44418.73,0.41,161.24,30.80,1032.72,4.69,33.04,17.93,11.27,0.00,2358.93,0.00,17.93,3398.54,614.13,0.00,296.38,317.75,12.32,504.80,2351.72,989.97,0.00,0.00,636.24,3398.54,1371.09,17.93,498.01,679.01,10.00,1118.07,3.36,768.97,1.13,26.73,960.24,322.42,583.53,24.57,1306.62,889.71,848.57,365.26,22.88,13.50,9.78,120.94,248.23,269.48,315.16
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,34.74,67.05,0.00,0.38,46.15,0.89,89.36,2.94,0.00,3.60,0.00,95.12,0.00,0.00,104.36,0.81,0.00,0.36,0.46,0.00,84.98,0.26,0.25,0.00,0.00,1.83,104.36,0.01,0.00,0.00,0.00,2.00,0.22,0.00,0.00,1.80,0.00,0.11,0.55,0.87,0.00,1.16,0.89,0.00,34.54,0.00,2.37,18.01,54.24,0.74,1.01,1.32
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,32.24,5.48,0.00,-0.03,0.00,0.00,,0.87,3.62,34.88,0.00,-18.96,0.00,3.71,19.90,0.00,0.00,0.00,0.00,0.00,0.00,19.36,3.97,0.00,0.00,0.00,19.90,19.01,0.00,0.16,0.00,10.00,0.01,0.00,0.00,3.49,3.71,18.92,0.00,0.00,0.00,19.83,28.33,2.59,0.25,3.43,11.87,12.18,12.01,0.00,0.00,0.00
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,26.45,1516.79,0.00,20.07,37.65,102.24,20.95,12.85,336.32,31.19,0.00,509.62,169.28,0.00,2047.91,27.53,0.00,12.09,24.86,0.00,4.34,1828.74,1161.99,14.26,0.00,497.23,2047.91,666.75,0.00,0.00,0.03,10.00,1636.69,0.00,0.69,3.06,169.28,427.85,15.44,27.53,0.00,217.78,83.85,76.82,9.93,233.93,92.01,0.00,0.00,6.21,2.18,0.47
