Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,230.55,17.86,20.99,19.79,15.74,38.33,30.00,1.90,31.90,3.98,27.92,3.70,24.22,6.31,0.00,17.91,46.10,13.01,7.77,17.64,5.06,22.27,29.95,174.89,199.70,11.50,16.05,24.67,202406.00,16.11,231.88,32.17,23.50,6.64,212.34,26.54,1.51,28.05,3.71,24.34,5.01,19.33,5.66,13.64,0.00,13.66,12.50,6.43,17.64,3.87,1015.37
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,108.58,24.45,10650.50,982.67,-3538.35,463.75,27.05,0.05,27.10,0.01,27.09,0.00,27.09,2.65,0.00,24.45,25.55,24.91,22.52,10.50,23.29,16.03,2.31,16.58,2.79,16.03,2.30,483.45,202406.00,8641.95,,,,,18.18,17.38,0.01,17.39,0.02,17.37,0.00,17.37,0.76,16.62,0.00,16.62,95.60,91.42,10.50,15.83,90.62
360 ONE,542772,360ONE,Finance & Investments,1056.30,849.34,305.71,48.23,66.53,36.32,35.25,576.85,-1.43,663.05,16.46,646.59,214.31,344.65,100.91,-87.63,243.74,100.00,67.92,35.99,36.29,6.72,374.92,323.87,629.79,560.63,192.11,185.91,23.00,202406.00,39.45,781.82,439.10,207.38,5.72,791.74,286.82,259.46,546.28,16.55,529.73,206.84,322.89,80.28,242.61,0.00,242.61,36.23,30.64,35.80,6.76,38329.62
3B Blackbio,532067,,Healthcare,1245.65,23.00,8.79,27.00,69.36,19.86,23.75,9.88,4.19,14.07,0.30,13.77,0.04,13.73,4.94,0.00,8.79,73.13,42.96,38.22,8.57,10.33,7.79,6.44,19.18,14.28,7.58,7.21,13.18,202403.00,20.20,17.16,7.70,7.39,8.61,17.67,8.87,2.63,11.50,0.32,11.18,0.03,11.15,2.64,8.51,0.00,8.51,50.20,48.16,8.57,10.16,1069.10
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,12.47,,,,-51.82,-89.47,1.79,,,,,,,,,0.75,,,,,1.74,,,,,,,-30.62,202403.00,,,,,,17.37,0.43,,,,,,,,,,-0.62,,,,-1.44,23.66
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,197.04,-47.75,3.45,-104.23,11.63,-2543.85,-37.02,-51.06,-36.24,7.67,-43.91,2.36,-98.11,0.97,-51.84,-99.08,100.00,-18.79,-24.23,169.23,-5.85,34.78,-3.50,210.28,194.38,-154.16,-15.59,63.67,202403.00,11.97,217.64,-4.08,-13.68,-0.81,212.18,-7.65,-1.10,-6.52,7.01,-13.53,2.72,-18.48,10.96,-28.53,-2.23,-29.44,-3.61,-13.45,168.64,-1.74,604.10
3M India,523395,3MINDIA,Diversified - Large,39413.25,1032.72,161.24,4.69,30.80,5.18,28.82,201.67,27.03,228.70,12.72,215.98,0.74,215.24,54.00,0.00,161.24,40.40,19.53,15.61,11.27,143.13,178.12,158.32,975.42,976.85,133.80,116.67,26.10,202403.00,5.27,1028.31,178.44,163.69,145.31,941.77,166.73,13.91,180.64,12.85,167.79,0.76,167.03,42.46,124.57,0.00,124.57,17.70,13.23,11.27,110.58,44418.73
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,0.89,0.38,89.36,46.15,54.86,23.72,0.52,0.00,0.52,0.01,0.51,0.00,0.51,0.13,0.00,0.38,100.00,58.43,42.70,3.60,0.21,0.54,1.09,0.89,1.31,0.39,0.80,22.12,202406.00,63.65,2.14,1.52,1.48,0.82,0.89,0.50,0.00,0.50,0.02,0.48,0.00,0.48,0.12,0.36,0.00,0.36,56.18,40.45,3.60,0.20,67.05
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,0.00,-0.03,,0.00,,254.55,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,0.00,-0.03,,,,34.88,-0.01,-0.01,-0.06,0.00,0.00,-0.01,-0.06,254.55,202403.00,,,,,,0.28,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,96.43,96.43,34.88,0.08,5.48
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,102.24,20.07,20.95,37.65,21.87,13.88,37.33,0.00,37.33,3.30,34.03,7.16,26.87,6.80,0.00,20.07,100.00,36.51,19.63,31.21,6.43,30.42,33.57,100.25,96.90,15.09,19.04,26.19,202406.00,21.90,118.12,36.60,24.81,7.95,112.85,17.07,0.00,17.07,2.72,14.35,10.26,4.09,0.96,3.14,0.00,3.14,15.13,2.78,30.75,1.01,1516.79
