Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,190.56,26.39,0.99,27.38,3.47,23.91,4.08,19.83,4.89,14.91,0.00,14.93,13.85,7.83,,4.23,1015.37
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,1.01,-2.76,0.00,-2.76,0.01,-2.77,0.00,-2.77,0.00,-2.77,0.00,-2.77,-273.27,-274.26,,-2.64,90.62
360 ONE,542772,360ONE,Finance & Investments,1056.30,573.00,353.20,7.89,361.09,12.57,348.52,124.65,223.87,40.29,183.58,0.00,183.58,61.64,32.04,,5.15,38329.62
3B Blackbio,532067,,Healthcare,1245.65,18.11,7.46,1.15,8.61,0.21,8.40,0.04,8.36,3.16,5.19,0.00,5.19,41.19,28.66,7.49,7.72,1069.10
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,,,,,,,,,,,,,,,,,23.66
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,190.46,-17.00,-0.60,-13.43,5.40,-18.83,2.56,-25.56,1.71,-23.38,-4.17,-27.27,-8.93,-12.28,167.94,-1.62,604.10
3M India,523395,3MINDIA,Diversified - Large,39413.25,986.47,179.51,8.04,187.55,14.10,173.45,5.63,167.82,44.55,123.27,0.00,123.27,18.20,12.50,11.27,109.43,44418.73
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,0.47,0.37,0.00,0.37,0.02,0.35,0.00,0.35,0.09,0.26,0.00,0.26,78.72,55.32,,0.14,67.05
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,0.00,-0.03,-0.05,-0.03,0.00,-0.03,0.00,-0.08,0.00,-0.03,-0.05,-0.08,,,34.88,-0.02,5.48
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,84.53,25.61,0.00,25.61,2.24,23.37,3.84,19.53,4.95,14.58,0.00,14.58,30.30,17.25,,4.76,1516.79
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,403.40,111.60,28.23,-6.61,62.99,14.24,48.75,0.22,7.16,24.73,-8.63,-41.37,-26.10,25.30,-8.49,9.22,-5.16,1858.81
7NR Retail Ltd,540615,,Trading,7.61,10.39,-0.57,0.46,-0.11,0.06,-0.17,0.02,-0.19,0.01,-0.21,0.00,-0.21,-5.49,-2.02,10.47,-0.08,21.31
7Seas Enter.,540874,,Computers - Software - Medium / Small,70.00,1.08,0.07,0.04,0.11,0.03,0.08,0.00,0.08,0.00,0.08,0.00,0.08,6.48,7.41,15.14,0.05,130.62
A B B,500002,ABB,Electric Equipment,7578.80,2411.21,285.31,71.97,357.56,27.48,330.08,2.23,327.57,82.68,245.17,-0.28,244.89,11.83,10.17,,11.56,160601.12
A B Infrabuild,,ABINFRA,Construction,63.25,79.60,10.72,,,,,,,,,,6.81,,,,4.76,314.63
A B M Internatl.,,ABMINTLLTD,Trading,60.05,23.07,0.58,0.61,1.19,0.00,1.19,0.00,1.19,-2.23,3.42,0.00,3.42,2.51,14.82,9.41,3.64,56.50
A F Enterprises,538351,,Trading,16.57,20.36,-1.13,-0.40,-1.53,0.66,-2.19,0.24,-2.43,-0.50,-1.93,0.00,-1.93,-5.55,-9.48,12.91,-0.53,60.80
A G Universal,,AGUL,Trading,61.00,35.92,0.08,,,,,,,,,,0.56,,,,1.39,33.45
A K Spintex,539300,,Textiles - Processing,200.10,30.32,4.85,0.04,4.89,1.50,3.39,0.21,3.18,0.94,2.23,0.00,2.23,16.00,7.35,,4.43,100.69
A R C Finance,540135,,Finance & Investments,1.12,4.54,1.01,0.00,1.01,0.04,0.97,1.31,-0.34,0.08,-0.43,0.00,-0.43,22.25,-9.47,50.50,-0.01,56.55
A-1 Acid,542012,,Trading,348.70,71.62,-0.37,2.96,2.59,0.96,1.63,0.47,1.16,0.08,1.07,0.00,1.07,-0.52,1.49,11.50,0.93,401.01
A.K.Capital Serv,530499,,Finance & Investments,1033.75,116.27,71.15,0.28,71.43,1.89,69.54,38.27,31.27,6.49,24.54,0.00,24.77,61.19,21.30,6.60,37.18,682.28
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,20.44,90.71,17.58,-40.72,32.74,2.33,30.41,3.03,-28.50,35.18,-43.72,-55.88,-63.68,19.38,-48.29,176.12,-3.61,359.99
AA Plus Trade,543319,,Trading,25.31,7.16,-0.26,,,,,,,,,,0.10,,,,0.04,61.57
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,113.85,11.99,1.00,0.17,1.17,0.11,1.06,0.00,1.06,0.27,0.80,0.00,0.80,8.34,6.67,8.55,0.62,146.03
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,427.15,555.43,422.35,-24.92,422.43,4.41,418.02,213.46,179.56,38.86,159.52,-25.00,140.70,76.04,28.72,,3.56,18218.74
Aadi Industries,530027,,Plastics Products,5.80,0.00,-0.04,0.02,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,,,10.00,-0.02,5.80
