Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,65.09,85.35,1131952,2130535,1920168,294.80,105.40,294.80,6.60,8.56,11.72,28.05,216.56,174.06,213.65,172.91,74.15,18.51,16.51,13.18,11.84,167.43,65.26,54.21,285837,34.20,24.92,1015.37
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,61.31,109.21,14109,6101,5026,87.17,17.70,145.05,2.30,2.00,10.37,17.43,68.50,48.67,67.78,48.29,80.38,4.98,4.79,4.96,4.95,320.98,52.47,43.87,14469,20.42,27.06,90.62
360 ONE,542772,360ONE,Finance & Investments,1056.30,37.75,68.07,857951,1595083,607954,1215.80,468.90,1215.80,177.50,-3.90,5.98,9.50,931.42,752.29,926.33,749.23,59.70,50.49,53.32,46.19,45.12,108.01,40.13,,758179,,,38329.62
3B Blackbio,532067,,Healthcare,1245.65,72.48,54.48,8354,10686,4997,1285.00,476.50,1285.00,4.81,-0.91,17.49,1.91,1061.54,861.24,1054.02,857.38,65.47,34.89,28.49,20.08,16.38,154.37,26.49,69.93,13972,58.03,62.20,1069.10
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,,,48778,15000,20000,52.26,34.90,52.26,34.90,-0.51,0.13,-6.07,42.15,44.29,42.27,44.34,45.13,-1.22,-1.32,-1.59,-1.68,,,,91200,,,23.66
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,-6.33,-38.89,1421327,1107697,1136692,63.90,30.25,164.50,1.15,-1.27,-5.00,-11.24,37.73,40.46,37.81,40.51,38.79,-0.32,-0.22,-0.10,-0.04,4.82,58.28,73.81,2334827,36.22,14.58,604.10
3M India,523395,3MINDIA,Diversified - Large,39413.25,33.17,18.99,6364,11023,3539,41000.00,26628.00,41000.00,464.10,0.24,3.92,1.66,36868.95,32886.52,36765.10,32820.92,59.99,601.21,594.53,664.47,680.28,39.93,17.31,13.60,6872,16.82,22.01,44418.73
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,19.20,-2.87,50508,75480,64470,41.52,19.02,77.55,2.88,-0.05,0.24,-0.93,35.02,31.07,34.93,31.00,54.73,0.73,0.78,0.93,0.98,92.01,34.67,37.07,41223,18.28,11.57,67.05
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,-11.80,-23.04,22529,37184,119477,2.26,1.14,315.00,0.19,-4.27,-5.99,-11.30,1.68,1.69,1.69,1.69,42.69,-0.02,-0.01,-0.02,-0.02,25.60,-18.96,20.04,44280,-42.70,-24.62,5.48
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,-4.53,-18.74,179596,72691,47950,759.10,404.00,759.10,90.00,-0.48,1.16,-2.99,503.62,505.21,504.33,505.40,43.55,-6.47,-6.93,-8.38,-8.85,8.41,-0.69,27.55,138587,,,1516.79
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,403.40,-1.05,-12.37,244973,555257,422531,690.75,227.10,3048.00,39.55,0.86,15.37,11.70,367.38,373.08,365.91,372.78,69.53,6.43,3.37,-2.21,-4.37,74.52,55.59,33.98,220468,31.09,2.99,1858.81
7NR Retail Ltd,540615,,Trading,7.61,51.29,7.33,215684,282005,246861,10.70,4.40,159.47,2.93,-2.81,6.14,35.89,6.20,6.12,6.15,6.10,71.49,0.60,0.62,0.51,0.49,17.08,11.70,-34.80,1321045,-6.35,,21.31
7Seas Enter.,540874,,Computers - Software - Medium / Small,70.00,63.55,66.31,45868,13498,20712,83.50,22.05,83.50,4.43,-1.46,-3.47,-4.55,59.96,41.97,59.55,41.69,56.16,3.86,4.29,5.52,5.93,205.14,48.44,53.67,29340,,,130.62
A B B,500002,ABB,Electric Equipment,7578.80,9.20,72.13,302444,194856,199097,9200.00,3847.50,9200.00,203.47,-2.46,-3.47,-12.68,7942.61,6455.25,7957.46,6443.96,37.98,-159.94,-146.47,-134.90,-128.64,70.77,65.68,43.98,384413,29.19,23.65,160601.12
A B Infrabuild,,ABINFRA,Construction,63.25,24.53,42.49,18118,23200,16000,67.01,25.37,67.01,4.61,-0.24,4.89,17.02,55.97,45.71,55.67,45.54,63.38,2.37,2.24,1.55,1.34,95.94,104.74,23.93,43284,,,314.63
A B M Internatl.,,ABMINTLLTD,Trading,60.05,-3.46,-10.17,765,544,313,80.75,31.35,213.60,12.00,-4.64,-4.67,-11.31,63.72,59.60,63.87,59.59,42.57,-0.93,-0.79,-1.12,-1.17,33.44,-16.55,33.81,2380,-4.84,,56.50
A F Enterprises,538351,,Trading,16.57,185.69,68.22,188152,285513,489043,16.57,4.30,776.51,0.91,1.97,10.25,58.56,11.56,9.46,11.36,9.39,90.77,1.58,1.54,1.39,1.35,126.68,-18.98,36.55,102328,10.38,-27.18,60.80
A G Universal,,AGUL,Trading,61.00,5.17,2.69,7067,5333,8000,119.95,46.50,119.95,32.50,1.75,1.67,-6.15,59.34,62.97,59.28,62.99,52.78,0.71,0.72,1.14,1.24,17.31,,,16343,,,33.45
A K Spintex,539300,,Textiles - Processing,200.10,22.57,35.11,15357,25862,48703,264.65,106.20,264.65,10.00,-4.92,-13.53,-15.05,206.93,162.62,207.21,162.24,36.79,3.23,5.95,9.27,10.78,60.21,106.42,61.88,16090,18.30,,100.69
A R C Finance,540135,,Finance & Investments,1.12,28.74,7.69,3835637,3457390,3089535,1.41,0.60,6.71,0.02,-1.75,-5.88,-13.18,1.12,0.98,1.12,0.98,44.48,0.00,0.00,0.01,0.01,83.61,21.79,49.49,3132323,-7.88,,56.55
A-1 Acid,542012,,Trading,348.70,-1.59,-4.16,46521,42223,47119,439.95,313.00,439.95,41.74,0.37,1.74,0.53,347.44,352.96,347.39,353.00,54.99,0.16,-0.06,-0.59,-0.77,-6.68,33.46,46.24,38778,,,401.01
A.K.Capital Serv,530499,,Finance & Investments,1033.75,12.94,12.41,1594,1477,780,1180.00,503.00,1180.00,15.84,0.61,1.26,-5.13,1030.97,905.51,1030.86,904.22,47.76,-8.10,-8.84,-4.85,-4.04,93.04,24.18,30.99,3692,10.82,14.50,682.28
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,20.44,46.52,45.48,187667,240486,272840,24.62,6.70,500.00,2.82,1.74,5.69,-4.84,19.34,15.35,19.30,15.30,54.91,-0.06,-0.12,-0.15,-0.18,198.39,63.23,15.14,415494,-8.88,-2.56,359.99
AA Plus Trade,543319,,Trading,25.31,44.22,167.83,173714,0,0,26.88,9.11,26.88,5.32,-4.96,0.00,5.86,19.70,15.10,19.48,14.99,67.99,2.09,2.12,1.73,1.64,78.24,9.63,,136670,,,61.57
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,113.85,-8.88,17.13,45161,77713,67003,147.00,51.70,147.00,28.00,-1.36,8.23,10.36,109.63,97.16,109.45,96.99,57.57,0.84,0.57,-0.20,-0.46,106.25,52.08,,131040,,,146.03
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,427.15,,,1341570,685768,515514,486.95,292.00,486.95,292.00,-2.85,-3.72,-1.88,413.86,362.58,413.32,361.93,46.97,9.51,12.08,14.72,16.02,,,,3828827,,,18218.74
Aadi Industries,530027,,Plastics Products,5.80,-22.56,-16.06,3256,3905,1521,8.90,3.02,75.80,0.99,1.93,5.84,-8.66,6.07,5.78,6.08,5.78,47.72,-0.20,-0.24,-0.24,-0.25,77.91,,,9106,27.83,2.68,5.80
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,13.92,30.70,32.57,423347,343941,200578,17.15,5.70,33.80,0.94,-1.69,0.29,-10.71,13.09,10.93,13.06,10.90,52.71,0.23,0.25,0.29,0.31,137.95,-17.95,63.81,533124,,,140.94
Aananda Lakshmi,539096,,Construction,19.00,-4.23,59.80,2485,3720,1286,32.46,8.01,32.46,1.91,1.60,10.34,38.28,16.34,15.92,16.23,15.89,74.67,0.97,0.88,0.52,0.40,127.27,82.23,54.19,4216,21.47,,6.65
Aanchal Ispat,538812,,Steel - Medium / Small,5.53,-14.92,-40.98,32151,51134,14614,13.43,4.81,28.55,3.55,4.93,4.73,-9.93,6.39,8.83,6.42,8.87,44.08,-0.27,-0.28,-0.25,-0.25,-57.56,1.11,-14.41,58885,-9.93,,11.53
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,49.57,-9.46,-2.80,66915,84762,74212,68.00,37.00,143.95,9.02,0.14,-1.12,1.14,49.10,47.34,49.08,47.32,50.36,0.36,0.42,0.53,0.58,18.02,5.10,26.01,83920,-12.65,12.66,125.83
Aarnav Fashions,539562,,Textiles - Products,48.70,74.05,47.09,102393,96621,34537,55.50,24.60,202.25,12.50,1.99,1.90,4.04,43.65,35.87,43.44,35.74,55.26,1.13,1.20,2.11,2.35,61.79,-7.81,14.92,76539,,,205.70
Aaron Industries,,AARON,Engineering,277.15,6.03,4.31,38679,130101,13804,326.40,233.00,326.40,16.97,-0.65,5.74,4.15,267.77,261.09,267.39,260.93,56.72,4.31,4.39,2.60,2.18,17.66,35.30,63.38,14482,,,290.27
Aartech Solonics,542580,AARTECH,Electric Equipment,219.06,-13.43,49.63,21734,62673,14366,264.40,110.25,264.40,0.00,-1.16,6.85,17.65,204.95,176.54,204.37,176.11,61.06,4.34,3.88,0.84,-0.03,79.34,113.44,58.21,52538,,,231.99
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,511.40,4.12,-5.06,153588,194373,122477,625.00,430.00,1026.95,3.81,0.92,-2.90,-7.76,515.30,502.84,515.46,502.75,45.32,-2.68,-2.32,0.64,1.48,-10.84,-8.20,35.86,299385,20.52,18.96,4701.56
Aarti Industries,524208,AARTIIND,Chemicals,738.40,-1.52,11.87,985491,1612606,950328,769.50,438.00,1060.84,4.43,-0.42,4.37,2.29,696.25,647.55,694.53,646.64,62.61,12.63,11.85,8.70,7.71,56.21,-4.09,13.58,1787822,20.25,29.69,26768.27
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,647.75,26.53,17.72,236846,347062,614401,662.80,330.00,662.80,234.80,2.92,7.03,4.00,597.24,519.38,595.18,518.09,62.82,5.10,2.16,0.52,-0.63,84.18,,,317021,,,5870.30
Aarti Surfactant,543210,AARTISURF,Chemicals,637.20,-5.52,-12.76,45796,23573,35855,854.20,542.65,1858.12,218.70,-1.45,-0.71,-8.91,672.79,662.50,674.24,662.76,37.48,-13.25,-12.46,-8.86,-7.76,5.47,-28.54,,60044,,,538.98
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,38.05,43.86,-2.69,229582,236369,155735,43.12,20.20,166.00,6.30,0.08,9.37,26.79,30.96,28.03,30.67,27.93,67.78,2.72,2.73,2.30,2.20,65.43,13.46,18.12,159136,-6.54,-2.40,89.27
Aarvi Encon,,AARVI,Miscellaneous,140.77,-3.12,-5.52,42892,37419,16641,184.25,112.95,203.00,20.15,0.49,-5.71,2.23,137.69,137.95,137.57,137.92,55.07,0.99,0.84,-0.10,-0.37,6.77,27.64,35.43,39977,,,208.11
Aashka Hospitals,543346,,Healthcare,111.50,48.69,39.81,18263,14600,4000,126.55,45.91,126.55,36.30,-4.50,-3.80,-7.85,104.19,80.74,103.89,80.43,49.48,3.24,3.91,4.96,5.39,86.14,,,23611,,,260.91
AastamangalamFin,511764,,Finance & Investments,42.93,-11.12,-11.47,15304,13615,7309,59.50,36.01,69.95,5.71,0.16,7.76,-0.05,42.92,43.42,42.92,43.42,53.56,-0.26,-0.37,-0.55,-0.63,6.03,45.21,1.42,10266,2.27,16.55,38.25
Aatmaj Health,,AATMAJ,Healthcare,27.20,-27.08,-34.30,16211,22400,8000,60.00,25.00,60.00,25.00,-1.45,2.45,0.74,28.49,36.27,28.54,36.36,50.93,-0.19,-0.24,-0.41,-0.46,-42.19,,,52325,,,61.47
AAVAS Financiers,541988,AAVAS,Finance - Housing,1673.40,6.97,15.65,208848,295357,286807,1978.95,1307.00,3340.00,611.50,0.56,-4.21,-5.94,1733.93,1631.00,1736.40,1630.58,35.79,-25.58,-22.28,-10.52,-6.76,7.29,-13.18,2.42,363904,,,13243.24
Aayush Art,540718,,Trading,146.40,29.33,98.11,10658,27600,6000,147.40,0.00,147.40,0.00,9.25,11.16,19.32,121.05,91.55,120.01,91.00,96.23,5.24,4.20,3.91,3.58,118.51,,49.05,25204,,,190.50
Aayush Wellness,539528,,Trading,293.70,11.25,226.33,6003,16593,24987,313.95,21.11,313.95,12.50,0.63,6.03,5.12,268.87,179.12,267.86,177.96,63.64,4.00,3.17,1.29,0.62,1154.59,124.23,72.82,4365,30.32,,95.31
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,220.00,-22.32,-1.35,1308,1250,1000,386.00,40.00,386.00,34.15,1.38,-3.40,-10.97,243.21,187.75,244.16,187.43,41.40,-8.59,-8.36,-7.53,-7.27,398.87,,,14081,,,226.43
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,66.08,-0.86,-25.42,79647,111465,53160,93.50,39.10,5555.00,12.60,-2.10,0.26,-0.41,65.57,61.37,65.55,61.33,51.14,-0.09,-0.14,-0.23,-0.27,64.79,14.26,19.83,361798,-13.13,-21.86,385.68
ABans Enterprise,512165,,Trading,132.00,5.64,-14.76,965,1920,4473,200.00,111.40,303.00,1.88,0.61,-0.75,-2.11,129.94,137.88,129.86,137.94,51.51,0.70,0.75,0.87,0.91,-22.51,9.88,23.74,14751,,,184.14
