Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,1015.37,16.89,0.43,2.88,10.35,0.34,17.75,44.95,9.24,0.00,23.08,1076.44,3.53,100.02,4.10,1.16,0.00,8.00,6.00,1.40,1.57,26057.00,44.95,15.11,58.93,3.59,,87.97,16.90,194.00,103.51,54.44,58.93,99.02,54.21,0.78,0.05,0.06,0.06,83.20,19.27,8.10,15.34,22492.00
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,90.62,1.53,2.90,1.70,68.93,0.00,86.98,64.30,72.49,0.00,23.21,86.63,1.05,50.73,0.33,16.28,0.00,7.00,6.00,0.83,0.88,5889.00,64.30,76.29,162.31,1.89,,354.31,113.01,254.12,1151.08,0.00,162.31,988.78,35.71,0.00,0.00,0.00,0.00,19.71,-57.67,-50.88,-70.57,5943.00
360 ONE,542772,360ONE,Finance & Investments,1056.30,38329.62,41.38,1.56,10.99,6.11,2.75,24.47,15.79,4.14,40.46,23.21,47163.38,36.29,96.13,,0.84,0.00,3.00,6.00,0.22,3.81,58786.00,9.40,215.86,41.01,1.89,,-120.92,12.91,228.04,41.01,,41.01,0.00,10.92,64.56,1.34,8.72,0.38,87.67,13.33,6.00,21.41,46512.00
3B Blackbio,532067,,Healthcare,1245.65,1069.10,33.31,0.20,4.79,13.89,0.00,16.28,41.29,4.41,0.00,47.90,1007.80,0.86,259.88,2.65,6.56,0.00,5.00,3.00,0.32,1.04,9399.00,41.29,28.40,178.51,7.10,,215.59,17.92,472.22,253.38,66.01,178.51,140.89,53.48,3.28,0.31,1.96,0.07,228.05,19.06,12.77,16.00,9753.00
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,23.66,197.17,0.00,,0.42,1.23,2.93,51.67,5.97,0.00,36.72,28.16,0.60,,1.57,0.90,0.00,4.00,1.00,1.03,7.04,1006.00,51.67,5.20,125.13,3.82,,204.52,10.45,,222.68,134.31,125.13,231.86,48.34,0.00,,0.00,,,25.63,3.59,33.98,
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,604.10,,0.00,2.06,-8.99,0.29,-15.71,0.00,-5.87,0.00,36.72,634.07,16.93,17.34,,1.05,0.00,4.00,3.00,1.00,2.79,266783.00,0.00,-10.90,70.33,3.82,,8.32,-5.61,,70.33,,70.33,,90.25,1.00,0.06,8.75,-1.40,38.16,2.59,0.31,0.45,272076.00
3M India,523395,3MINDIA,Diversified - Large,39413.25,44418.73,82.91,0.41,18.73,16.97,0.01,24.81,75.00,1.66,0.00,24.13,43318.59,1.13,2104.02,4.47,1.87,0.00,9.00,4.00,1.24,1.33,29243.00,75.00,31.86,63.12,3.17,,23.52,21.21,4747.23,21.18,119.02,63.12,77.08,12.95,3.77,0.13,8.27,-0.17,1729.09,25.29,13.48,18.75,29198.00
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,67.05,34.74,0.00,0.68,2.11,0.00,2.20,73.30,3.86,0.00,23.21,66.83,1.80,54.84,,1.04,0.00,5.00,5.00,0.04,0.87,8446.00,73.30,385.11,0.00,1.89,,-21.53,2.47,36.37,0.00,,0.00,,26.69,0.00,0.00,0.00,0.00,36.70,3.07,2.27,2.32,8551.00
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,5.48,32.24,0.00,0.34,0.85,0.23,1.07,9.43,1.87,0.00,41.62,9.09,3.49,4.56,0.00,4.84,,6.00,2.00,0.01,1.25,7559.00,9.43,0.89,0.00,2.64,,24767.86,0.85,2.24,0.00,,0.00,,90.57,0.00,0.00,0.00,0.00,4.52,-0.56,-0.55,-0.69,7278.00
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,1516.79,26.45,0.00,2.80,2.81,0.62,10.29,32.78,49.85,0.00,15.74,216.42,3.12,173.39,,1.57,0.00,4.00,7.00,0.21,3.41,44686.00,32.78,10.62,0.03,2.79,,-897.34,5.27,268.45,0.03,,0.03,,44.27,22.70,0.04,0.25,-0.04,152.36,12.29,2.66,10.44,42465.00
