Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Average return on equity 3Years,Number of equity shares 10years back,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,287.75,14.98,16.11,3.38,60.78,53.22,21.01,2.89,3.49,3.43,3.53,0.00,0.00,1.83,20.14,18.86,19.18,17.75,14.20,15.09,1.90,12.74,12.83,22332.00,4.73,56.42,68.03,52.97,7.30,8.53,8.41,9.12,8.38,8.39,124.03,134.79,123.50,105.34,84.01,0.75,0.06,1015.37
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,86.30,1.16,32.13,1.05,22.33,17.43,52.00,,,,,0.00,,0.52,24.82,2.16,2.43,7.13,5.45,0.66,58.82,,,6566.00,2.72,81.17,940.14,-2289.41,1.85,22.68,1.74,2.14,3.49,2.09,14.65,20.21,19.16,4.25,172.84,-0.35,-0.15,90.62
360 ONE,542772,360ONE,Finance & Investments,1056.30,17.25,21.97,,80.43,85.77,,,4.25,,,0.00,0.00,865.34,13.73,11.58,11.46,11.46,,,9.29,57.85,,35921.00,177.18,47.33,49.95,68.46,4.65,6.02,27.09,29.31,29.31,29.31,10894.33,,,,-109.10,39.65,7.35,38329.62
3B Blackbio,532067,,Healthcare,1245.65,34.65,17.98,0.64,175.88,42.77,15.78,0.23,0.04,0.12,2.51,0.00,0.00,3.40,22.23,51.94,44.46,33.72,32.79,34.11,-8.68,54.75,48.43,12416.00,10.55,171.51,56.00,289.74,31.57,14.46,13.71,15.51,13.15,10.86,213.76,48.38,22.11,4.79,210.92,1.81,1.87,1069.10
3C IT Solutions,544190,,Computers - Software - Medium / Small,39.30,,24.86,,,,,,,,,0.00,,,21.52,21.52,21.52,21.52,,,,,,,0.00,88.36,58.42,,,2.73,132.14,132.14,132.14,132.14,,,,,122.43,,,23.66
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,35.69,-0.83,-5.90,60.38,4.66,2.42,-6.89,,14.37,7.14,7.03,0.00,0.00,0.00,-2.13,-1.02,3.43,3.16,,3.46,,-1.96,-2.44,300942.00,0.00,60.67,52.93,79.52,-1.23,-3.98,97.06,8.20,8.40,10.78,1204.41,622.41,597.74,443.80,40.42,0.93,-6.08,604.10
3M India,523395,3MINDIA,Diversified - Large,39413.25,14.60,18.07,1.13,1972.03,1841.77,717.01,3.58,4.12,3.97,3.90,0.00,0.00,368.53,24.51,19.82,23.27,25.03,16.55,15.92,5.46,13.97,14.92,28054.00,133.75,59.74,69.45,70.97,10.57,13.01,78.57,76.49,76.73,81.54,34287.19,27330.09,13030.96,3973.82,31.22,-0.18,0.57,44418.73
3P Land Hold.,516092,3PLAND,Finance & Investments,37.25,2.26,2.19,1.80,25.90,16.28,10.67,,,,4.65,0.00,0.00,0.00,2.93,2.73,3.38,4.54,1.63,2.07,42.05,62.14,6.99,6778.00,0.00,0.00,0.00,0.00,2.30,2.12,29.40,29.61,26.39,25.65,15.48,20.16,19.44,12.20,-7.26,0.00,0.00,67.05
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,-11.25,-3.65,3.49,5.09,4.86,4.57,1.91,0.00,-1.31,,,0.00,0.00,-1.65,-6.92,-5.49,-2.51,-4.37,-8.68,15.69,,,6022.00,0.00,-10503.89,,253.25,-7.53,-2.80,38.80,42.80,21.62,33.00,2.96,4.95,559.13,25.17,50749.48,0.00,0.00,5.48
5Paisa Capital,540776,5PAISA,Finance & Investments,486.00,8.41,9.33,0.61,62.22,54.27,,,,0.32,12.00,0.00,0.00,0.00,11.17,9.51,-1.15,-2.67,3.78,4.85,18.06,22.38,16.92,27914.00,0.00,0.04,0.00,11.73,1.45,2.22,32.28,53.72,53.72,53.72,637.13,369.29,,,-955.27,-2.35,0.25,1516.79
